Date,RAP
2023-01-01,1200000
2023-01-08,1198916
2023-01-15,1253455
2023-01-22,1335428
2023-01-29,1309065
2023-02-05,1318940
2023-02-12,1336089
2023-02-19,1343934
2023-02-26,1332114
2023-03-05,1433747
2023-03-12,1396906
2023-03-19,1404414
2023-03-26,1398081
2023-04-02,1415911
2023-04-09,1398898
2023-04-16,1399175
2023-04-23,1391539
2023-04-30,1313094
2023-05-07,1364450
2023-05-14,1344956
2023-05-21,1309178
2023-05-28,1289357
2023-06-04,1287042
2023-06-11,1269333
2023-06-18,1270685
2023-06-25,1206240
2023-07-02,1248782
2023-07-09,1242613
2023-07-16,1298828
2023-07-23,1294481
2023-07-30,1283398
2023-08-06,1312842
2023-08-13,1351534
2023-08-20,1341662
2023-08-27,1349645
2023-09-03,1397074
2023-09-10,1445152
2023-09-17,1460902
2023-09-24,1470152
2023-10-01,1420336
2023-10-08,1498905
2023-10-15,1528310
2023-10-22,1587373
2023-10-29,1594410
2023-11-05,1650138
2023-11-12,1740273
2023-11-19,1821642
2023-11-26,1883179
2023-12-03,1907135
2023-12-10,1902735
2023-12-17,1950193
2023-12-24,2013981
2023-12-31,2106031
2024-01-07,2185693
2024-01-14,2076817
2024-01-21,2122791
2024-01-28,2129715
2024-02-04,2202515
2024-02-11,2291264
2024-02-18,2248578
2024-02-25,2184091
2024-03-03,2217409
2024-03-10,2081413
2024-03-17,2022834
2024-03-24,2055929
2024-03-31,1937308
2024-04-07,1935257
2024-04-14,1936069
2024-04-21,2005288
2024-04-28,1925055
2024-05-05,2000080
2024-05-12,1960236
2024-05-19,1987331
2024-05-26,2052141
2024-06-02,2141180
2024-06-09,2159621
2024-06-16,2106066
2024-06-23,2123848
2024-06-30,2206567
2024-07-07,2076470
2024-07-14,2080135
2024-07-21,2105483
2024-07-28,2147939
2024-08-04,2182165
2024-08-11,2183352
2024-08-18,2084148
2024-08-25,2024979
2024-09-01,2134496
2024-09-08,2126000
2024-09-15,2091696
2024-09-22,2049291
2024-09-29,2036814
2024-10-06,2035098
2024-10-13,1956311
2024-10-20,2006697
2024-10-27,2184694
2024-11-03,2221153
2024-11-10,2248411
2024-11-17,2054543
2024-11-24,2117792
2024-12-01,2121815
2024-12-08,2108879
2024-12-15,2134980
2024-12-22,2185664
2024-12-29,2195265
2025-01-05,2221637
2025-01-12,2208363
2025-01-19,2214628
2025-01-26,2228252
2025-02-02,2284100
2025-02-09,2234491
2025-02-16,2372230
2025-02-23,2412520
2025-03-02,2521581
2025-03-09,2583787
2025-03-16,2567018
2025-03-23,2590885
2025-03-30,2611398
2025-04-06,2671105
2025-04-13,2791043
2025-04-20,2851617
2025-04-27,2879543
2025-05-04,2870673
2025-05-11,2770751
2025-05-18,2808961
2025-05-25,2827614
2025-06-01,2766876
2025-06-08,2708787
2025-06-15,2647346
2025-06-22,2509256
2025-06-29,2502689
2025-07-06,2584573
2025-07-13,2544698
2025-07-20,2490767
2025-07-27,2573326
2025-08-03,2576267
2025-08-10,2661312
2025-08-17,2710612
2025-08-24,2628539
2025-08-31,2682730
2025-09-07,2643583
2025-09-14,2595763
2025-09-21,2839630
2025-09-28,2919422
2025-10-05,2871348
2025-10-12,2953603
2025-10-19,2978524
2025-10-26,3038927
2025-11-02,3095788
2025-11-09,3191097
2025-11-16,3305949
2025-11-23,3200195
2025-11-30,3198461
2025-12-07,3225938
2025-12-14,3028564
2025-12-21,2880265
2025-12-28,3016990
2026-01-04,2968301
2026-01-11,2907613
