Date,RAP
2023-01-01,700000
2023-01-08,691047
2023-01-15,716906
2023-01-22,716322
2023-01-29,676083
2023-02-05,685789
2023-02-12,650749
2023-02-19,620431
2023-02-26,624724
2023-03-05,650396
2023-03-12,649393
2023-03-19,610112
2023-03-26,623224
2023-04-02,595412
2023-04-09,578298
2023-04-16,565191
2023-04-23,575690
2023-04-30,560180
2023-05-07,554042
2023-05-14,558244
2023-05-21,581970
2023-05-28,566526
2023-06-04,611813
2023-06-11,612061
2023-06-18,633239
2023-06-25,593512
2023-07-02,582257
2023-07-09,584638
2023-07-16,575542
2023-07-23,587862
2023-07-30,580870
2023-08-06,597123
2023-08-13,617854
2023-08-20,602501
2023-08-27,614916
2023-09-03,607911
2023-09-10,622506
2023-09-17,637762
2023-09-24,618543
2023-10-01,652685
2023-10-08,680238
2023-10-15,668315
2023-10-22,668029
2023-10-29,674616
2023-11-05,705401
2023-11-12,711581
2023-11-19,773257
2023-11-26,738122
2023-12-03,733524
2023-12-10,697265
2023-12-17,732943
2023-12-24,680120
2023-12-31,690583
2024-01-07,673175
2024-01-14,692028
2024-01-21,659200
2024-01-28,669901
2024-02-04,644887
2024-02-11,634102
2024-02-18,619475
2024-02-25,619219
2024-03-03,625436
2024-03-10,624588
2024-03-17,638333
2024-03-24,652444
2024-03-31,650622
2024-04-07,643078
2024-04-14,650104
2024-04-21,678502
2024-04-28,705297
2024-05-05,682880
2024-05-12,698950
2024-05-19,676271
2024-05-26,679600
2024-06-02,687941
2024-06-09,726122
2024-06-16,717071
2024-06-23,720972
2024-06-30,732667
2024-07-07,704990
2024-07-14,693425
2024-07-21,707974
2024-07-28,736818
2024-08-04,749610
2024-08-11,778875
2024-08-18,781781
2024-08-25,792578
2024-09-01,832428
2024-09-08,800518
2024-09-15,776972
2024-09-22,807513
2024-09-29,784542
2024-10-06,798447
2024-10-13,787176
2024-10-20,747028
2024-10-27,708572
2024-11-03,721500
2024-11-10,709174
2024-11-17,702108
2024-11-24,641089
2024-12-01,673204
2024-12-08,607863
2024-12-15,654237
2024-12-22,700220
2024-12-29,753741
2025-01-05,731044
2025-01-12,737347
2025-01-19,783995
2025-01-26,771664
2025-02-02,804374
2025-02-09,786574
2025-02-16,801641
2025-02-23,823858
2025-03-02,836058
2025-03-09,858095
2025-03-16,827067
2025-03-23,815739
2025-03-30,841609
2025-04-06,856513
2025-04-13,844152
2025-04-20,866740
2025-04-27,865523
2025-05-04,918709
2025-05-11,948367
2025-05-18,995767
2025-05-25,1039047
2025-06-01,1091874
2025-06-08,1126757
2025-06-15,1076313
2025-06-22,1153660
2025-06-29,1170310
2025-07-06,1141069
2025-07-13,1213551
2025-07-20,1189267
2025-07-27,1214093
2025-08-03,1179481
2025-08-10,1212310
2025-08-17,1262295
2025-08-24,1277277
2025-08-31,1354840
2025-09-07,1302810
2025-09-14,1391472
2025-09-21,1501965
2025-09-28,1557436
2025-10-05,1538819
2025-10-12,1523311
2025-10-19,1527779
2025-10-26,1538789
2025-11-02,1616619
2025-11-09,1600746
2025-11-16,1537318
2025-11-23,1550679
2025-11-30,1546301
2025-12-07,1510461
2025-12-14,1529674
2025-12-21,1506529
2025-12-28,1576626
2026-01-04,1583393
2026-01-11,1591269
