Date,Open,High,Low,Close,Volume
2023-01-02,91.6,92.42,91.34,92.27,123252
2023-01-03,91.91,92.94,91.55,91.65,91969
2023-01-04,91.97,92.53,91.72,92.53,57430
2023-01-05,92.01,92.55,91.8,92.16,76899
2023-01-06,92.28,93.08,92.1,92.96,40103
2023-01-09,93.04,93.71,92.97,93.58,84024
2023-01-10,92.57,92.91,92.32,92.61,62959
2023-01-11,93.08,93.47,92.97,93.39,64975
2023-01-12,93.9,94.48,93.29,93.66,45763
2023-01-13,93.79,94.07,93.39,94.0,46278
2023-01-16,94.29,94.47,94.0,94.34,101513
2023-01-17,94.13,94.87,93.96,94.63,42263
2023-01-18,94.53,94.89,94.07,94.07,49640
2023-01-19,93.52,93.54,92.77,92.93,44919
2023-01-20,93.24,93.7,92.86,93.61,34573
2023-01-23,93.78,95.13,93.61,94.93,57168
2023-01-24,94.89,94.9,94.4,94.71,42604
2023-01-25,94.66,94.66,93.4,94.03,41755
2023-01-26,94.89,95.35,94.8,95.17,31140
2023-01-27,95.41,95.98,95.25,95.85,32410
2023-01-30,95.15,95.39,94.64,95.32,67403
2023-01-31,94.96,95.19,94.33,95.14,71779
2023-02-01,95.49,95.99,94.84,95.09,136842
2023-02-02,95.66,97.13,95.62,97.13,69884
2023-02-03,96.53,97.5,96.32,97.5,63208
2023-02-06,96.63,96.94,96.2,96.94,99690
2023-02-07,97.0,97.17,96.82,97.15,69412
2023-02-08,97.68,97.73,96.96,97.02,75233
2023-02-09,97.66,97.8,97.17,97.22,57537
2023-02-10,96.37,96.86,96.12,96.77,64343
2023-02-13,96.79,97.43,96.75,97.34,45809
2023-02-14,97.44,97.71,96.85,96.96,67684
2023-02-15,96.89,97.62,96.83,97.6,94157
2023-02-16,98.0,98.08,96.97,97.55,40069
2023-02-17,96.78,97.03,96.4,96.42,46182
2023-02-20,96.73,96.84,96.54,96.65,32428
2023-02-21,96.44,96.53,95.6,95.68,45794
2023-02-22,95.47,95.72,95.12,95.6,54767
2023-02-23,95.96,96.35,95.58,95.62,37329
2023-02-24,95.98,96.05,94.73,94.93,57582
2023-02-27,95.66,96.0,95.44,95.52,51279
2023-02-28,95.02,95.46,94.83,95.12,51851
2023-03-01,95.25,95.5,94.19,94.39,163764
2023-03-02,94.11,95.0,94.07,94.84,73129
2023-03-03,95.56,96.35,95.44,96.33,30509
2023-03-06,96.62,96.73,96.3,96.62,67728
